timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726133622006,3223,第1条请求,200,OK,线程组 1-1,text,true,,440,612,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=59017051-1e25-4271-b4d1-1884a4b2897d&t=1726133621604,3219,0,46
1726133625475,2908,第2条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,604,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=cc534662-c6ae-4976-bb5f-152a5d44398d&t=1726133625469,2907,0,0
1726133628388,4966,第3条请求,200,OK,线程组 1-1,text,true,,388,617,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=7901a448-71c7-4cf8-b1d2-b3fe8bcfd0a4&t=1726133628387,4965,0,0
1726133633363,2089,第4条请求,200,OK,线程组 1-1,text,true,,448,574,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=706ae708-4336-45b0-b60a-acbe4bd6c562&t=1726133633363,2088,0,3
1726133635459,2704,第5条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,574,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=277f6ee8-184c-45a6-bba8-dc4507576c75&t=1726133635459,2704,0,2
1726133638170,2251,第6条请求,200,OK,线程组 1-1,text,true,,517,560,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=f44b5883-9103-4b40-94f4-f4ed1bc256b8&t=1726133638168,2251,0,1
1726133640430,2650,第7条请求,200,OK,线程组 1-1,text,true,,517,560,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=f743b4e6-984b-4b9f-af4a-2b59e924b89e&t=1726133640428,2649,0,1
1726133643083,2042,第8条请求,200,OK,线程组 1-1,text,true,,427,598,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=602ac4da-97b5-4183-bb49-b0f39b037af4&t=1726133643083,2042,0,2
1726133645128,3508,第9条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,583,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=5c066248-0849-4c8a-af39-7f7f2829d6ad&t=1726133645128,3508,0,1
1726133648640,2093,第10条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,577,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=fb4d6974-ddca-44e5-b03d-993bc5b1863c&t=1726133648640,2092,0,2
1726133650735,2415,第11条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,585,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=18db9d1c-914e-4dac-aa97-676a87207986&t=1726133650736,2415,0,1
1726133653155,1742,第12条请求,200,OK,线程组 1-1,text,true,,367,584,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=c7916940-f66a-482a-ab6b-6fbde8c21863&t=1726133653155,1741,0,1
1726133654901,4664,第13条请求,200,OK,线程组 1-1,text,true,,444,589,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=08e73956-d6f2-4052-ba7a-6d65bf96a40f&t=1726133654901,4664,0,0
1726133659570,2861,第14条请求,200,OK,线程组 1-1,text,true,,367,581,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=7bc65528-54ff-4571-81e1-eecd7c435466&t=1726133659569,2861,0,1
1726133662435,3883,第15条请求,200,OK,线程组 1-1,text,true,,814,593,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=23eba282-0a27-43c0-a791-252daf49ec8e&t=1726133662434,3883,0,1
1726133666321,2041,第16条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,588,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=676dd66d-b66e-4f1a-a3ad-85ccc5c1ee7a&t=1726133666321,2041,0,1
1726133668368,2871,第17条请求,200,OK,线程组 1-1,text,true,,755,617,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=4188c15d-ea7e-4c3e-b5ed-daa361c9ce5c&t=1726133668367,2870,0,1
1726133671247,1940,第18条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,588,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=115df144-58f2-4e06-a0c5-f7d037025800&t=1726133671247,1939,0,1
1726133673195,1750,第19条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,588,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=27f0627b-22df-4c52-9ce8-95c76a04d492&t=1726133673194,1750,0,2
1726133674948,4230,第20条请求,200,OK,线程组 1-1,text,true,,424,618,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=cf0c3bfc-27b2-4802-b611-1a2588dbce8e&t=1726133674948,4229,0,1
1726133679182,2300,第21条请求,200,OK,线程组 1-1,text,true,,376,595,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=8e8756f9-f03f-4b2f-be28-faa7c1f68b31&t=1726133679182,2300,0,0
1726133681486,2348,第22条请求,200,OK,线程组 1-1,text,true,,376,581,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=a44c653e-f907-49b5-a875-4471072789dd&t=1726133681486,2348,0,1
1726133683839,5223,第23条请求,200,OK,线程组 1-1,text,true,,479,592,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=78dcf336-2777-4e66-a673-ed5c0b9a906e&t=1726133683839,5222,0,1
1726133689070,3598,第24条请求,200,OK,线程组 1-1,text,true,,478,582,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=05a39976-bbfd-4271-bf06-a5c029cde9dd&t=1726133689069,3598,0,2
1726133692673,2778,第25条请求,200,OK,线程组 1-1,text,true,,640,598,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=e76ffea6-a018-466c-8fb7-d0ce2e4f8bd6&t=1726133692672,2778,0,1
1726133695471,3418,第26条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,615,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=1f29906f-ec00-4092-8fd8-f7ebd0b04934&t=1726133695470,3417,0,1
1726133698896,4293,第27条请求,200,OK,线程组 1-1,text,true,,728,585,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=52405028-b772-49ad-a683-66cb7fd2143a&t=1726133698895,4293,0,2
1726133703197,2247,第28条请求,200,OK,线程组 1-1,text,true,,428,586,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=7efbe7c5-c155-4dc4-b458-015658afd9e8&t=1726133703197,2246,0,2
1726133705450,3783,第29条请求,200,OK,线程组 1-1,text,true,,434,597,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=3ebd3a80-9d29-4a8d-a01b-801bb9104c75&t=1726133705449,3782,0,2
1726133709238,2226,第30条请求,200,OK,线程组 1-1,text,true,,431,587,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=695f6eb8-ff7b-4983-8a57-17e1a4bb222a&t=1726133709238,2226,0,2
1726133711467,2604,第31条请求,200,OK,线程组 1-1,text,true,,575,596,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=a5443a37-9960-4718-890c-f99c1c8989e2&t=1726133711467,2604,0,1
1726133714077,5296,第32条请求,200,OK,线程组 1-1,text,true,,731,590,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=6456f17b-e155-4e1f-ab88-7121e2686610&t=1726133714076,5296,0,1
1726133719378,2048,第33条请求,200,OK,线程组 1-1,text,true,,342,598,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=3f991165-dd0d-4c2f-b60c-f78488d05a94&t=1726133719377,2048,0,1
1726133721429,1843,第34条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,583,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=99b35d14-b651-4cbc-a534-5c9e06e8d2b2&t=1726133721429,1843,0,0
1726133723275,3491,第35条请求,200,OK,线程组 1-1,text,true,,780,592,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=61ae0802-722c-4ac8-bf65-df643b91818a&t=1726133723276,3490,0,1
1726133726774,5285,第36条请求,200,OK,线程组 1-1,text,true,,1422,593,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=8148db0d-5c23-410f-82e0-d89003d5831e&t=1726133726774,5285,0,1
1726133732064,3594,第37条请求,200,OK,线程组 1-1,text,true,,361,591,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=f31aaf31-feb2-4e1a-b7a8-b84c78588798&t=1726133732063,3593,0,1
1726133735663,6122,第38条请求,200,OK,线程组 1-1,text,true,,780,603,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=023ce25a-8a44-481e-b5df-1bb2f0653979&t=1726133735663,6121,0,2
1726133741791,3515,第39条请求,200,OK,线程组 1-1,text,true,,395,593,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=9142e73d-feab-485c-9e96-c1ec70a8c0b2&t=1726133741790,3515,0,1
1726133745311,3378,第40条请求,200,OK,线程组 1-1,text,true,,365,584,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=2bf387b4-d597-4011-a875-f10b31f2fe15&t=1726133745311,3378,0,1
1726133748696,1985,第41条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,591,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=b35da1c2-1360-4887-ad55-f54586aec328&t=1726133748695,1984,0,2
1726133750687,2082,第42条请求,200,OK,线程组 1-1,text,true,,463,591,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=5d37f4f3-f400-4ca9-acb8-542361b4d59a&t=1726133750686,2082,0,1
1726133752775,2130,第43条请求,200,OK,线程组 1-1,text,true,,375,589,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=2ac37ebb-c404-49af-9923-733a44e638e0&t=1726133752774,2129,0,1
1726133754910,2751,第44条请求,200,OK,线程组 1-1,text,true,,375,623,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=7368974d-f5b8-43ee-8229-7ba99e945814&t=1726133754910,2750,0,1
1726133757667,2124,第45条请求,200,OK,线程组 1-1,text,true,,432,577,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=7c3d21ba-dd9c-423e-b48f-7dcdf36fde63&t=1726133757665,2123,0,1
1726133759796,2539,第46条请求,200,OK,线程组 1-1,text,true,,452,634,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=bbd2584f-7b58-476b-b31c-2a3cf9f62905&t=1726133759795,2538,0,1
1726133762341,2804,第47条请求,200,OK,线程组 1-1,text,true,,526,605,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=1d5f51a2-6f6d-4504-84a1-4e3bc23bcb40&t=1726133762340,2803,0,1
1726133765152,4092,第48条请求,200,OK,线程组 1-1,text,true,,801,612,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=98a1b6e8-ad4d-41d9-a719-5b58e8759107&t=1726133765151,4092,0,1
1726133769250,2456,第49条请求,200,OK,线程组 1-1,text,true,,528,578,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=9aec16c4-919e-4791-bcbd-c73636ae7ce2&t=1726133769249,2455,0,1
1726133771711,1950,第50条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,605,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=00aa121a-641d-49d4-9745-e59f6ede87d9&t=1726133771710,1949,0,1
1726133773667,3114,第51条请求,200,OK,线程组 1-1,text,true,,837,573,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=890d6ff0-9369-4def-a3c8-d3825605916a&t=1726133773665,3113,0,1
1726133776786,3468,第52条请求,200,OK,线程组 1-1,text,true,,914,611,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=1234c87f-b12b-4571-80df-b413462d6e68&t=1726133776784,3467,0,1
1726133780257,4140,第53条请求,200,OK,线程组 1-1,text,true,,919,579,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=6478fb83-c274-4d22-9d64-f08ce8e1e6fa&t=1726133780257,4139,0,1
1726133784403,6388,第54条请求,200,OK,线程组 1-1,text,true,,914,605,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=15c2f062-c817-4be8-a471-4cc078aca47b&t=1726133784402,6387,0,1
1726133790797,3660,第55条请求,200,OK,线程组 1-1,text,true,,915,643,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=47595a48-9114-4cf5-9a7d-976493c57dd7&t=1726133790797,3659,0,2
1726133794462,3863,第56条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,601,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=11d38910-8b13-45d1-80d2-2687a23bcbfe&t=1726133794462,3862,0,1
1726133798330,3353,第57条请求,200,OK,线程组 1-1,text,true,,843,592,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=7376cca1-a304-4738-9855-96213c9f08bd&t=1726133798329,3353,0,1
1726133801686,2617,第58条请求,200,OK,线程组 1-1,text,true,,632,607,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=fb7b812d-0333-43e2-a84e-4f28e96c5e04&t=1726133801685,2616,0,1
1726133804308,3447,第59条请求,200,OK,线程组 1-1,text,true,,462,598,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=b80fd835-525e-4379-88a3-94b92ae42398&t=1726133804307,3447,0,1
1726133807758,2638,第60条请求,200,OK,线程组 1-1,text,true,,575,605,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=0358f01b-dab7-4c04-95a9-9863e4e1d3e8&t=1726133807757,2638,0,0
1726133810401,2659,第61条请求,200,OK,线程组 1-1,text,true,,575,615,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=79f22e85-e061-45db-a6e5-6e4b156b85d7&t=1726133810401,2659,0,1
1726133813066,2363,第62条请求,200,OK,线程组 1-1,text,true,,575,599,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=09096692-7690-4655-ac79-ebd8fbc06afa&t=1726133813065,2363,0,1
1726133815434,3227,第63条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,556,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=44c745b0-d612-40b5-8e08-6d99fafc8855&t=1726133815432,3227,0,1
1726133818666,2701,第64条请求,200,OK,线程组 1-1,text,true,,528,576,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=aa8d3319-d3f3-42b8-8481-d226cb58240c&t=1726133818664,2701,0,1
1726133821373,2714,第65条请求,200,OK,线程组 1-1,text,true,,526,596,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=5a0ef4b8-098b-40c0-ba1f-6401171fb75c&t=1726133821372,2713,0,2
1726133824092,3818,第66条请求,200,OK,线程组 1-1,text,true,,398,575,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=b375bcbd-c2e9-4bab-890f-c8d8de7b54dc&t=1726133824091,3818,0,1
1726133827914,2593,第67条请求,200,OK,线程组 1-1,text,true,,528,574,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=761693da-8311-4adc-bef6-4b1588404b6c&t=1726133827913,2592,0,1
1726133830513,3223,第68条请求,200,OK,线程组 1-1,text,true,,838,587,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=3e0ce709-b35d-4ba3-8fd1-5083b82c2f71&t=1726133830511,3222,0,1
1726133833740,1952,第69条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,576,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=f7b9255d-50b8-46d9-9c5b-ca4fb34e6e47&t=1726133833739,1951,0,1
1726133835696,3559,第70条请求,200,OK,线程组 1-1,text,true,,794,588,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=5f9095c8-6898-47c2-a2e3-b8c7d88865a2&t=1726133835696,3559,0,2
1726133839258,1909,第71条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,593,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=659a7eaf-24a5-4c2f-be4c-ebbb219328a4&t=1726133839259,1908,0,2
1726133841169,2511,第72条请求,200,OK,线程组 1-1,text,true,,375,581,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=73fecc9d-ffa2-4d2d-9dfd-ac442f027529&t=1726133841170,2510,0,1
1726133843685,1999,第73条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,586,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=599d3e11-87d5-4dd5-8b99-1fa3de8cf406&t=1726133843685,1998,0,2
1726133845688,2579,第74条请求,200,OK,线程组 1-1,text,true,,452,588,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=8f0c61cf-052f-4abc-a676-12ee269d4d39&t=1726133845688,2579,0,2
1726133848269,2356,第75条请求,200,OK,线程组 1-1,text,true,,452,593,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=12b7f1e4-852a-4895-99ea-26096ed423e5&t=1726133848269,2355,0,1
1726133850631,2301,第76条请求,200,OK,线程组 1-1,text,true,,452,583,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=80f8908d-e0c9-43ae-b74b-3d6017a127ce&t=1726133850631,2301,0,2
1726133852937,1998,第77条请求,200,OK,线程组 1-1,text,true,,379,595,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=643e1de5-9002-49c4-846f-30cc2001b192&t=1726133852936,1997,0,2
1726133854939,3357,第78条请求,200,OK,线程组 1-1,text,true,,412,618,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=53a5d9b1-cad2-46ba-a6de-7910c6c86134&t=1726133854938,3356,0,1
1726133858297,2275,第79条请求,200,OK,线程组 1-1,text,true,,411,616,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=27179845-fd93-4403-b7e3-913882020ef0&t=1726133858297,2275,0,1
1726133860576,2176,第80条请求,200,OK,线程组 1-1,text,true,,359,607,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=8279977b-d13c-4c4e-89ad-f3291a5ecc51&t=1726133860570,2176,0,1
1726133862748,2272,第81条请求,200,OK,线程组 1-1,text,true,,412,607,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=b6fe880f-5027-4661-a1fe-e986b4678c92&t=1726133862746,2272,0,2
1726133865023,2951,第82条请求,200,OK,线程组 1-1,text,true,,389,592,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=0305c6e9-ca95-4936-ab6a-758e0eef7e40&t=1726133865016,2951,0,0
1726133867969,2318,第83条请求,200,OK,线程组 1-1,text,true,,462,594,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=d5ab1e45-dba5-4f18-ad4a-d17da03a6a1b&t=1726133867966,2318,0,0
1726133870291,2180,第84条请求,200,OK,线程组 1-1,text,true,,462,595,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=104d3b00-6cb5-448d-9219-cc64bfcea5e4&t=1726133870285,2180,0,1
1726133872467,2234,第85条请求,200,OK,线程组 1-1,text,true,,434,592,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=9745617e-ff76-45cd-b6c3-282b438926fd&t=1726133872466,2234,0,0
1726133874707,4494,第86条请求,200,OK,线程组 1-1,text,true,,462,594,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=9265e982-323c-48e3-a768-94049ed6a4fb&t=1726133874703,4494,0,2
1726133879199,2191,第87条请求,200,OK,线程组 1-1,text,true,,434,579,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=81ace1f4-6a36-4534-a762-357f4938db25&t=1726133879197,2191,0,1
1726133881395,2858,第88条请求,200,OK,线程组 1-1,text,true,,434,587,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=764b5b76-c45b-4c39-8b7c-c04bde1746e9&t=1726133881392,2858,0,2
1726133884251,3766,第89条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,562,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=774eef37-ed01-4f13-863f-446694eff07e&t=1726133884250,3765,0,1
1726133888017,2296,第90条请求,200,OK,线程组 1-1,text,true,,433,589,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=646c0686-7954-4879-9a0e-2fd5cfbb0dd2&t=1726133888016,2295,0,0
1726133890315,2183,第91条请求,200,OK,线程组 1-1,text,true,,433,586,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=6e9caebf-4c3a-4525-a2f8-91d5641ba006&t=1726133890313,2183,0,0
1726133892499,10175,第92条请求,200,OK,线程组 1-1,text,true,,433,609,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=3ebb657d-6b50-44d2-884f-e8b7be96ba1a&t=1726133892498,10175,0,0
1726133902706,2608,第93条请求,200,OK,线程组 1-1,text,true,,433,594,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=825e9432-b59b-4b08-a3b0-69492f7ee3f1&t=1726133902686,2607,0,20
1726133905318,3256,第94条请求,200,OK,线程组 1-1,text,true,,535,593,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=d381a7e1-d200-4812-8b6b-d1c5ba4c4983&t=1726133905317,3255,0,1
1726133908576,2458,第95条请求,200,OK,线程组 1-1,text,true,,534,593,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=f3e47a9c-482f-4304-b4a4-ca713d802a03&t=1726133908575,2457,0,1
1726133911041,2865,第96条请求,200,OK,线程组 1-1,text,true,,534,595,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=9614d82f-cac8-4082-86bd-fd0c53a74a61&t=1726133911040,2865,0,1
1726133913910,4734,第97条请求,200,OK,线程组 1-1,text,true,,534,639,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=3878ffd0-402b-4751-b077-a432075e5ff9&t=1726133913908,4734,0,1
1726133918645,2215,第98条请求,200,OK,线程组 1-1,text,true,,359,595,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=5d5e38ef-92a7-47b6-a989-fda7e479b026&t=1726133918645,2215,0,1
1726133920864,2429,第99条请求,200,OK,线程组 1-1,text,true,,359,595,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=17a4882e-2746-43a9-a397-e213afc1598c&t=1726133920863,2428,0,1
1726133923297,1764,第100条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,595,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=2f10cc05-fac7-482d-8e86-c581862abd02&t=1726133923296,1764,0,1
1726133925066,3269,第101条请求,200,OK,线程组 1-1,text,true,,359,578,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=7f951fe5-4133-45d4-9953-43d581da918f&t=1726133925064,3269,0,1
1726133928338,2363,第102条请求,200,OK,线程组 1-1,text,true,,492,627,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=250b0a49-9595-466b-aad1-fee94858d344&t=1726133928337,2362,0,1
1726133930705,2380,第103条请求,200,OK,线程组 1-1,text,true,,492,625,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=5b9ad8a7-a0e7-46b3-abf1-3423233183e9&t=1726133930704,2380,0,2
1726133933088,3438,第104条请求,200,OK,线程组 1-1,text,true,,492,620,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=90abee2b-71e4-4997-b300-a7f667cfd369&t=1726133933088,3438,0,1
1726133936530,4700,第105条请求,200,OK,线程组 1-1,text,true,,552,568,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=789e2346-aa35-49ee-9f4c-5fa341563a6d&t=1726133936529,4699,0,1
1726133941236,2055,第106条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,619,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=0b97fc7c-212d-431f-aa1e-d6ca57e70683&t=1726133941235,2055,0,1
1726133943295,1880,第107条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,687,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=2f580efd-d228-4832-9c8f-d342fbe34886&t=1726133943295,1879,0,2
1726133945179,6606,第108条请求,200,OK,线程组 1-1,text,true,,1136,629,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=88dd82ee-a0b6-4279-86cb-035d954572c8&t=1726133945178,6606,0,1
