timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726108130255,3417,第1条请求,200,OK,线程组 1-1,text,true,,295,581,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=f075b5a0-177a-4438-b75f-8dd736bd2079&t=1726108130243,3417,0,2
1726108133714,1941,第2条请求,200,OK,线程组 1-1,text,true,,295,592,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=2b94bf6e-65f3-4c37-b841-180bbd239df1&t=1726108133713,1941,0,0
1726108135656,1950,第3条请求,200,OK,线程组 1-1,text,true,,295,595,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=3fe5eee7-bd93-48d7-aff8-68021f9013c7&t=1726108135656,1949,0,1
1726108137607,1683,第4条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,593,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=5f412279-dee1-48d4-8f56-eeee111f8c52&t=1726108137607,1682,0,1
1726108139293,1743,第5条请求,200,OK,线程组 1-1,text,true,,295,593,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=33a2412c-752f-4109-a10a-01239556ad73&t=1726108139293,1743,0,1
1726108141039,1883,第6条请求,200,OK,线程组 1-1,text,true,,295,585,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=337215d3-f45a-4c03-8db0-5bb5e111ebb0&t=1726108141039,1883,0,1
1726108142925,1797,第7条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,597,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=dfff559d-6f51-4ab5-bc4a-2ac0a7d1f21a&t=1726108142925,1797,0,1
1726108144725,1743,第8条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,591,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=cd50d478-7f26-41f3-b8b8-2739efea1b28&t=1726108144725,1743,0,1
1726108146471,1989,第9条请求,200,OK,线程组 1-1,text,true,,295,582,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=d7806ffe-f66a-465d-8973-fca5d26276a8&t=1726108146471,1989,0,1
1726108148461,1657,第10条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,599,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=2d762e92-5826-44e9-ad03-15c225247176&t=1726108148461,1657,0,1
1726108150128,1869,第11条请求,200,OK,线程组 1-1,text,true,,295,586,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=e5451453-6af4-4ade-8f60-370598a7a511&t=1726108150126,1868,0,1
1726108152000,1836,第12条请求,200,OK,线程组 1-1,text,true,,295,596,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=f3d8d853-ef80-4e9e-8255-8e72c5d16416&t=1726108152000,1835,0,0
1726108153839,1693,第13条请求,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: api-test-us.aosulife.com:443 failed to respond,线程组 1-1,text,false,Expected to find an object with property ['code'] in path $ but found 'java.lang.String'. This is not a json object according to the JsonProvider: 'com.jayway.jsonpath.spi.json.JsonSmartJsonProvider'.,2071,0,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=9b9c310d-fdb9-46b1-819c-b6d2bc2a5008&t=1726108153838,0,0,0
1726108155534,2705,第14条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,583,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=59b51aec-cd69-40de-9112-58f5df01abbc&t=1726108155534,2705,0,0
1726108158241,1958,第15条请求,200,OK,线程组 1-1,text,true,,403,592,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=09282c9c-94d0-43fb-96d4-e14eedd03d0a&t=1726108158240,1957,0,1
1726108160204,1826,第16条请求,200,OK,线程组 1-1,text,true,,295,590,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=0d7dc8c2-8b96-40bf-a875-a94b864843f9&t=1726108160202,1825,0,0
1726108162033,2049,第17条请求,200,OK,线程组 1-1,text,true,,403,598,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=69504b06-4599-4417-97e7-c13187f8cc38&t=1726108162032,2048,0,1
1726108164085,1848,第18条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,587,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=12aaea87-1ab4-487d-9fd9-bb040797f69c&t=1726108164084,1848,0,1
1726108165935,1830,第19条请求,200,OK,线程组 1-1,text,true,,295,601,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=7831416b-ff8c-4c26-be17-128b51ad9b34&t=1726108165935,1830,0,1
1726108167765,1911,第20条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,590,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=058efd13-426a-4ad3-bd20-f29c7904ffac&t=1726108167766,1911,0,1
1726108169678,2083,第21条请求,200,OK,线程组 1-1,text,true,,295,601,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=30a52ad7-570e-48ea-937b-8414b4b523cf&t=1726108169678,2083,0,0
1726108171763,2367,第22条请求,200,OK,线程组 1-1,text,true,,350,592,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=9a3f9ae5-0be1-4cfd-b69d-25a192070885&t=1726108171764,2367,0,1
1726108174134,1821,第23条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,602,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=7220761e-1f0e-44ec-bb5d-7004d1824235&t=1726108174133,1821,0,1
