timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726120212915,2557,第1条请求,200,OK,线程组 1-1,text,true,,350,584,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=b30f5c59-0d35-4fe4-80a6-66a89aff5442&t=1726120212874,2557,0,0
1726120215505,2425,第2条请求,200,OK,线程组 1-1,text,true,,447,599,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=77dbef66-06f4-47a0-b971-7e35a781d1dc&t=1726120215505,2425,0,1
1726120217932,2173,第3条请求,200,OK,线程组 1-1,text,true,,445,587,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=f7980973-be5d-476f-9d09-89eab6bb810a&t=1726120217932,2173,0,1
1726120220106,1927,第4条请求,200,OK,线程组 1-1,text,true,,371,641,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=0b33ddfa-a0be-4d10-8d4b-2604afa2e10f&t=1726120220106,1927,0,1
1726120222035,2138,第5条请求,200,OK,线程组 1-1,text,true,,521,599,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=aace8580-3604-4eb3-adec-1fb03cfd0f46&t=1726120222035,2138,0,1
1726120224175,1845,第6条请求,200,OK,线程组 1-1,text,true,,446,627,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=7fb48671-21dc-474a-bb9e-90a17f836745&t=1726120224174,1845,0,0
1726120226022,1748,第7条请求,200,OK,线程组 1-1,text,true,,353,592,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=75c4d9f2-bdc5-42ec-813e-3a1f39288d16&t=1726120226021,1748,0,0
1726120227770,3370,第8条请求,200,OK,线程组 1-1,text,true,,666,572,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=ed16e30d-f253-4378-9c76-a60415006c20&t=1726120227770,3370,0,0
1726120231142,2184,第9条请求,200,OK,线程组 1-1,text,true,,430,589,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=92a992f8-ee86-48ab-a452-72c617675454&t=1726120231143,2183,0,1
1726120233328,2319,第10条请求,200,OK,线程组 1-1,text,true,,571,585,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=5fd4e4a4-a642-403a-9ed7-873d3f1a5f84&t=1726120233328,2319,0,1
1726120235649,3541,第11条请求,200,OK,线程组 1-1,text,true,,725,584,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=b41fcabc-9cac-4b3c-b71f-1510b32bb561&t=1726120235648,3541,0,0
1726120239192,1669,第12条请求,200,OK,线程组 1-1,text,true,,403,618,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=616a7445-eb73-48f1-9a23-32cd035b26d1&t=1726120239193,1668,0,1
1726120240862,2053,第13条请求,200,OK,线程组 1-1,text,true,,486,598,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=5bd14ee2-b87e-4279-8969-1ce0496e0442&t=1726120240863,2053,0,1
1726120242917,2210,第14条请求,200,OK,线程组 1-1,text,true,,523,581,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=1a2e8673-a57a-456c-b083-638a3b828468&t=1726120242918,2209,0,1
1726120245128,2804,第15条请求,200,OK,线程组 1-1,text,true,,741,591,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=f12412b0-220b-4d79-9cf3-5ff399eee96a&t=1726120245129,2804,0,1
1726120247936,2661,第16条请求,200,OK,线程组 1-1,text,true,,533,600,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=bfb1000b-488e-46fd-9475-d80e5f221011&t=1726120247936,2660,0,1
1726120250600,2456,第17条请求,200,OK,线程组 1-1,text,true,,556,590,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=150b6503-1dfd-48be-9554-4403b4e5c5dc&t=1726120250600,2456,0,0
1726120253058,7613,第18条请求,200,OK,线程组 1-1,text,true,,1699,606,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=d5a476f9-82d0-4974-89b5-f4d8700d2980&t=1726120253058,7612,0,1
1726120260675,6296,第19条请求,200,OK,线程组 1-1,text,true,,936,593,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=cf35ef1e-784a-4946-bc1f-3bbdd131bd2b&t=1726120260675,6296,0,1
1726120266972,1516,第20条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,585,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=b67aecc6-0a50-4368-aff7-580831f086fa&t=1726120266972,1516,0,0
1726120268489,1610,第21条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,614,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=6ab7e03b-5d46-46b8-8696-5e760c579f25&t=1726120268489,1610,0,0
