timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726121975244,5426,第1条请求,200,OK,线程组 1-1,text,true,,350,561,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=fa933b08-7058-467e-be4a-0be64e82c869&t=1726121975221,5426,0,1
1726121980700,2741,第2条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,557,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=88284ecc-62d9-4b7f-acf2-6c1eff61cb47&t=1726121980700,2741,0,1
1726121983442,3594,第3条请求,200,OK,线程组 1-1,text,true,,295,557,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=edea429f-a861-4867-8306-be0d5c6b5061&t=1726121983442,3593,0,1
1726121987038,2540,第4条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,557,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=948c0a7f-bcf5-4976-bcbf-00b825d1cf05&t=1726121987037,2539,0,0
1726121989579,2319,第5条请求,200,OK,线程组 1-1,text,true,,295,557,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=1afed6d5-b6a4-4f00-a09e-c53898a50d63&t=1726121989579,2319,0,1
1726121991900,2081,第6条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,555,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=8f8fa331-8d6d-4956-8465-27bf774ae132&t=1726121991899,2081,0,0
1726121993983,2031,第7条请求,200,OK,线程组 1-1,text,true,,350,558,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=9831fcbb-6b12-4d00-9489-36c8109e1f1d&t=1726121993983,2031,0,0
1726121996016,3237,第8条请求,200,OK,线程组 1-1,text,true,,295,557,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=3a98ab0f-c6c1-4098-888d-ecd99c2aff0a&t=1726121996016,3236,0,0
1726121999257,3235,第9条请求,200,OK,线程组 1-1,text,true,,295,558,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=10dc4b06-b602-4185-a174-c6b4442dac9a&t=1726121999256,3235,0,1
1726122002494,3812,第10条请求,200,OK,线程组 1-1,text,true,,350,557,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=7d4b6828-e5a0-450c-8dc8-398d56fb7152&t=1726122002494,3812,0,1
1726122006309,2451,第11条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,557,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=1786efbb-14fb-46d0-9276-43d03aba63c3&t=1726122006308,2451,0,1
1726122008762,2158,第12条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,557,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=05c1c39c-7264-4061-b177-e3e739d68667&t=1726122008762,2158,0,1
1726122010922,6164,第13条请求,200,OK,线程组 1-1,text,true,,350,567,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=1f0e1531-7d41-4af9-b985-be71ad5f6f28&t=1726122010922,6163,0,0
1726122017088,2424,第14条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,557,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=efd656db-0f36-4662-aa36-d2704f49725a&t=1726122017088,2424,0,0
1726122019516,1864,第15条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,557,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=1a2b256b-10fa-4135-94e6-bd5463b738e3&t=1726122019515,1863,0,1
1726122021387,2008,第16条请求,200,OK,线程组 1-1,text,true,,295,557,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=96e2753a-0708-4e14-a0b6-4349c19a051b&t=1726122021386,2008,0,0
1726122023398,1942,第17条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,557,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=020e062d-566d-48af-abf6-4387011ee241&t=1726122023397,1942,0,1
1726122025343,2169,第18条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,558,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=3df4b47d-58af-4d1f-86b2-66379e753a52&t=1726122025342,2166,0,1
1726122027515,2237,第19条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,558,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=4da357e4-e037-40f7-a143-cf06ed970741&t=1726122027514,2237,0,1
1726122029758,2304,第20条请求,200,OK,线程组 1-1,text,true,,350,557,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=3b2f01c0-6829-4d7c-9401-9e80cf09bfdf&t=1726122029758,2304,0,0
1726122032065,2166,第21条请求,200,OK,线程组 1-1,text,true,,350,570,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=e0d0e8f4-6150-4722-be37-6b3f6984a011&t=1726122032065,2165,0,1
1726122034236,2112,第22条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,556,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=8ed630fe-5a20-487f-ae50-1484dffe0589&t=1726122034235,2112,0,0
1726122036350,2609,第23条请求,200,OK,线程组 1-1,text,true,,350,558,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=04e1fdfe-db67-4124-b262-55af31cf4e71&t=1726122036350,2609,0,1
1726122038963,1951,第24条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,557,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=d64c7f30-bf48-4df8-93e0-cfcb92db6049&t=1726122038962,1951,0,1
1726122040917,2442,第25条请求,200,OK,线程组 1-1,text,true,,350,557,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=8b3ec6ef-f2f9-43a2-b442-497631124850&t=1726122040917,2441,0,1
1726122043361,2217,第26条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,558,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=d1ffeaee-ba3f-494e-a00b-e6c49a6a551f&t=1726122043361,2217,0,1
1726122045580,3481,第27条请求,200,OK,线程组 1-1,text,true,,350,557,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=09109d13-8db7-4763-a097-29098e551da5&t=1726122045580,3481,0,1
1726122049063,2220,第28条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,557,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=76194349-01db-4ff7-8686-cb806596631e&t=1726122049063,2220,0,1
1726122051284,1993,第29条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,557,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=0759566d-64b7-412c-9de3-aca75a419d3e&t=1726122051285,1993,0,1
1726122053295,4916,第30条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,557,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=5165b229-791c-43d4-a796-0bed8b2620ea&t=1726122053295,4916,0,1
1726122058216,3333,第31条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,560,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=1ffb9bce-665e-483b-9e1c-c82e2ad0f8a0&t=1726122058215,3332,0,0
1726122061553,3967,第32条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,557,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=f3e8b061-4f87-4c99-929d-a3a968c0e2bc&t=1726122061552,3967,0,0
1726122065521,3409,第33条请求,200,OK,线程组 1-1,text,true,,350,557,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=974b6fa3-de0a-44bc-a6d3-c24a4527636d&t=1726122065520,3408,0,0
1726122068932,4037,第34条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,559,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=0dcad5d3-96d7-47a9-bae3-503b837f5e69&t=1726122068932,4037,0,1
1726122072970,19021,第35条请求,200,OK,线程组 1-1,text,true,,350,559,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=fa4dce17-c208-405c-9317-a76f5972c6ff&t=1726122072970,19021,0,1
1726122091995,2571,第36条请求,200,OK,线程组 1-1,text,true,,350,557,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=e96c3a2e-3f82-4597-b207-46ed3aa15d7a&t=1726122091994,2571,0,1
1726122094567,2092,第37条请求,200,OK,线程组 1-1,text,true,,350,557,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=0c7639c5-02d7-4164-b54e-04a84eabd719&t=1726122094567,2092,0,1
1726122096661,2095,第38条请求,200,OK,线程组 1-1,text,true,,350,557,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=2d659a28-02fc-43b5-8750-af8ab26a0872&t=1726122096661,2095,0,1
1726122098760,2980,第39条请求,200,OK,线程组 1-1,text,true,,350,557,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=96aba4e9-c85d-4b63-aa5b-fc8535238570&t=1726122098759,2979,0,1
1726122101743,2518,第40条请求,200,OK,线程组 1-1,text,true,,350,557,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=818d8bb8-4982-4a90-b73a-c9d53030cfe7&t=1726122101742,2518,0,5
1726122104263,2407,第41条请求,200,OK,线程组 1-1,text,true,,350,557,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=453e9c86-7043-4011-b7cf-b8c3030924ad&t=1726122104263,2407,0,1
