timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726306887415,2431,第1条请求,200,OK,线程组 1-1,text,true,,371,638,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=84b56a49-3653-4ca2-83f8-2da6c6804165&t=1726306887141,2431,0,1090
1726306890048,1942,第2条请求,200,OK,线程组 1-1,text,true,,371,589,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=1a5c8b8b-7c66-4dd7-821b-e62847e29af6&t=1726306890040,1942,0,530
1726306891997,1781,第3条请求,200,OK,线程组 1-1,text,true,,371,583,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=d67e27ac-c439-42fc-bf39-53e7a82a10dc&t=1726306891995,1781,0,622
1726306893784,2011,第4条请求,200,OK,线程组 1-1,text,true,,517,566,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=7d87edfb-aeeb-42cd-b9ef-0d6a4ae53e5a&t=1726306893783,2010,0,520
1726306895806,1636,第5条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,585,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=1c074b9f-85f4-4fc0-a330-d7435e0abfe2&t=1726306895804,1636,0,531
1726306897447,1623,第6条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,559,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=ffddfb3c-cbc8-48e7-b0a9-f856a6cf3415&t=1726306897447,1623,0,554
1726306899076,1478,第7条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,593,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=34832b22-2c92-412c-9c4a-88ed77a48e61&t=1726306899076,1477,0,522
1726306900559,1907,第8条请求,200,OK,线程组 1-1,text,true,,446,559,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=2759bd81-4bc0-4512-a0b9-2d6b6ffb20fc&t=1726306900559,1907,0,563
1726306902472,1616,第9条请求,200,OK,线程组 1-1,text,true,,371,638,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=5365b4cb-2746-4027-a879-5ce6a13dabfb&t=1726306902471,1616,0,593
1726306904093,2052,第10条请求,200,OK,线程组 1-1,text,true,,517,567,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=c4047306-9a79-440a-b6ec-19088c41c360&t=1726306904093,2051,0,612
1726306906149,1729,第11条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,608,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=f9391e7c-4f62-4f60-b24a-0e355631a0e4&t=1726306906149,1728,0,807
