timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726307514191,3090,第1条请求,200,OK,线程组 1-1,text,true,,626,652,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=d4135c33-351b-4846-8e16-d4e9f19ad3f7&t=1726307514175,3089,0,1007
1726307517324,2461,第2条请求,200,OK,线程组 1-1,text,true,,563,666,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=87740074-5340-4c8d-a30f-8bc794783ed3&t=1726307517324,2460,0,567
1726307519788,1739,第3条请求,200,OK,线程组 1-1,text,true,,427,632,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=e8c21185-badd-4f2d-8ecc-c3f61c8d807d&t=1726307519788,1739,0,531
1726307521530,1984,第4条请求,200,OK,线程组 1-1,text,true,,473,643,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=51636a4f-0688-4144-8b95-c0409cfe2492&t=1726307521530,1983,0,563
1726307523519,1729,第5条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,627,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=220f559d-0263-4cd3-bb7e-7d78fcb00f18&t=1726307523518,1728,0,532
1726307525251,2066,第6条请求,200,OK,线程组 1-1,text,true,,458,649,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=f4b7e6c4-4883-4f9f-ac23-ea941545a382&t=1726307525250,2065,0,515
1726307527321,2051,第7条请求,200,OK,线程组 1-1,text,true,,480,652,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=5d2a7481-fc6d-4073-9b21-d6397d0f6927&t=1726307527320,2050,0,544
1726307529375,2060,第8条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,635,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=47da6d26-3fc8-478a-81d3-e4a09d7c211b&t=1726307529375,2060,0,540
1726307531439,2028,第9条请求,200,OK,线程组 1-1,text,true,,529,646,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=35b3c418-6fa9-4d84-bfcb-7645d989af67&t=1726307531439,2027,0,530
1726307533470,1692,第10条请求,200,OK,线程组 1-1,text,true,,348,644,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=e59170c5-5bb2-412f-b8d1-c2e6dae02046&t=1726307533469,1692,0,533
1726307535167,1922,第11条请求,200,OK,线程组 1-1,text,true,,424,624,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=62befd44-288f-44b9-ade6-37b3ecae67cf&t=1726307535165,1921,0,562
1726307537092,2353,第12条请求,200,OK,线程组 1-1,text,true,,625,669,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=36d4d295-6daf-4bea-b72b-ea2d925f30ae&t=1726307537091,2353,0,534
1726307539449,2489,第13条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,627,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=15b5ac35-fe39-4b3d-a05b-eabddf0ad3fd&t=1726307539448,2488,0,923
1726307541941,2146,第14条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,618,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=8a6364a9-fae6-4ab3-97aa-d6e39ac64c01&t=1726307541941,2146,0,553
1726307544090,1600,第15条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,636,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=d22f2f57-68d0-4631-9e23-ccbb3dcf72ce&t=1726307544089,1600,0,535
1726307545694,1908,第16条请求,200,OK,线程组 1-1,text,true,,373,629,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=6d2ad015-21c7-41ca-8c9b-cfa3130c5f55&t=1726307545693,1908,0,522
1726307547606,1616,第17条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,638,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=e3efacb6-bfb6-4f2b-a808-091b5c4747e2&t=1726307547606,1616,0,540
1726307549226,2167,第18条请求,200,OK,线程组 1-1,text,true,,342,641,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=f7c6c02a-5111-4960-84ab-5b2067e08ab4&t=1726307549226,2166,0,522
1726307551394,1812,第19条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,668,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=37eec552-3b1a-43a6-91ee-6736ce7adb46&t=1726307551394,1812,0,524
1726307553210,1704,第20条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,639,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=9f3f4095-20dc-41c5-a168-5190137edcb9&t=1726307553208,1703,0,529
