timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726310522166,2256,第1条请求,200,OK,线程组 1-1,text,true,,371,633,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=ec3fafee-5b8d-43bd-b424-a430109d2c20&t=1726310522136,2256,0,1
1726310524460,1812,第2条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,584,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=18a6f202-85af-4c6f-86c8-e1a61fd66c39&t=1726310524460,1811,0,1
1726310526275,2043,第3条请求,200,OK,线程组 1-1,text,true,,371,578,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=6333a5f2-8108-427a-939b-946087c340d2&t=1726310526275,2043,0,1
1726310528321,2604,第4条请求,200,OK,线程组 1-1,text,true,,521,561,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=5c962a85-fc22-49ec-a7ff-c81fed218e86&t=1726310528321,2603,0,1
1726310530928,1787,第5条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,580,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=c6cff0d1-cc13-47cb-9cd0-a21b650f06f5&t=1726310530928,1787,0,1
1726310532719,1638,第6条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,554,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=44d062a3-8612-4d89-82b0-bf78d89b8dc5&t=1726310532718,1637,0,0
1726310534360,1945,第7条请求,200,OK,线程组 1-1,text,true,,446,588,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=543d2545-302a-4b27-9c69-d06ac8002af3&t=1726310534360,1945,0,1
1726310536306,2153,第8条请求,200,OK,线程组 1-1,text,true,,446,554,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=f0cdd73f-aeac-4f47-896f-4560b215a307&t=1726310536306,2153,0,1
1726310538463,1937,第9条请求,200,OK,线程组 1-1,text,true,,371,633,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=19066837-bc1a-4955-ac11-fc168798eb16&t=1726310538462,1937,0,1
1726310540403,2244,第10条请求,200,OK,线程组 1-1,text,true,,521,562,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=4ac1dc97-a916-45ca-82ff-cdb3c8a46068&t=1726310540403,2243,0,1
1726310542650,1595,第11条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,603,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=039123df-5e46-4da1-b717-862d3c1110d1&t=1726310542649,1595,0,1
1726310544248,3221,第12条请求,200,OK,线程组 1-1,text,true,,948,605,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=1c7e6f8c-3ee5-4c32-9eb0-a53913f0c6aa&t=1726310544248,3221,0,1
1726310547472,2859,第13条请求,200,OK,线程组 1-1,text,true,,589,655,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=817f2501-0623-4cd2-8f69-4af0ee73521f&t=1726310547472,2858,0,1
1726310550334,2834,第14条请求,200,OK,线程组 1-1,text,true,,710,582,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=27df9439-8498-408e-aaf4-3a6e767797ef&t=1726310550334,2833,0,1
1726310553171,2159,第15条请求,200,OK,线程组 1-1,text,true,,542,617,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=20b76406-cdfe-428a-b146-3ed0704b720f&t=1726310553171,2158,0,1
1726310555334,2267,第16条请求,200,OK,线程组 1-1,text,true,,437,564,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=ac72aec6-6cb3-4995-bd45-893d6823bba5&t=1726310555333,2266,0,0
1726310557606,2619,第17条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,566,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=d8d6b0d0-8f51-47c7-9801-b5b612af21a5&t=1726310557605,2618,0,1
1726310560228,3007,第18条请求,200,OK,线程组 1-1,text,true,,918,628,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=d554dfab-17b4-46cb-a7d1-0789a83b4277&t=1726310560227,3006,0,1
1726310563237,4860,第19条请求,200,OK,线程组 1-1,text,true,,1455,579,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=efe93fde-ce06-4f9b-a67a-5fbcf469bded&t=1726310563237,4859,0,1
1726310568098,2504,第20条请求,200,OK,线程组 1-1,text,true,,606,604,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=c1434464-086b-4127-9e99-b956e7b459fa&t=1726310568098,2503,0,1
1726310570605,3274,第21条请求,200,OK,线程组 1-1,text,true,,947,640,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=4ea59f9e-e8c0-417f-bc73-e2e047c748f0&t=1726310570604,3274,0,1
1726310573882,2458,第22条请求,200,OK,线程组 1-1,text,true,,742,613,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=3c6eadc7-3aa8-4e95-b53a-d13e97caa535&t=1726310573881,2457,0,1
1726310576341,1844,第23条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,581,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=be779843-f473-4255-9d9f-8b5f9c3a76ef&t=1726310576341,1843,0,1
1726310578187,1732,第24条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,627,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=1fe4f3a3-bcdd-456b-99bc-788988dcbdcf&t=1726310578187,1731,0,1
1726310579922,2049,第25条请求,200,OK,线程组 1-1,text,true,,446,555,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=2ad6cec2-7d95-470b-9e1b-bb0510064c5f&t=1726310579922,2048,0,1
1726310581974,1836,第26条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,566,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=c386d4ae-631a-404b-b61e-845cef1b2111&t=1726310581973,1836,0,1
1726310583812,2252,第27条请求,200,OK,线程组 1-1,text,true,,484,595,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=5dbf7180-9db4-48a5-af72-30e1ee4a76ee&t=1726310583812,2252,0,0
1726310586067,2359,第28条请求,200,OK,线程组 1-1,text,true,,616,611,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=53c28587-6c34-4fd5-978d-1ed87e254aa7&t=1726310586066,2359,0,0
1726310588427,1647,第29条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,562,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=c05822c4-87b6-4a4e-b371-8aa97bb2b9c4&t=1726310588427,1646,0,1
1726310590077,1975,第30条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,587,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=23fc611e-4661-4ffb-9472-1b7e9517512e&t=1726310590076,1974,0,1
1726310592055,1997,第31条请求,200,OK,线程组 1-1,text,true,,436,553,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=8bb64a01-b2c4-4435-a16f-1ead404d7240&t=1726310592055,1996,0,1
1726310594054,1953,第32条请求,200,OK,线程组 1-1,text,true,,452,639,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=753c7481-12e5-4f73-844b-ce3115863cfc&t=1726310594053,1953,0,1
1726310596010,2143,第33条请求,200,OK,线程组 1-1,text,true,,496,567,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=1e7324e1-ca16-4aa4-852f-00f06280cb65&t=1726310596009,2143,0,1
1726310598155,2250,第34条请求,200,OK,线程组 1-1,text,true,,528,618,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=f9b8e349-4eb1-4aab-bbff-d9ebb672f88b&t=1726310598154,2249,0,1
1726310600406,4510,第35条请求,200,OK,线程组 1-1,text,true,,1584,585,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=c97abbff-7744-4444-9f06-be6bfb2afca8&t=1726310600406,4509,0,1
1726310604919,1729,第36条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,602,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=2d31b090-7a91-4b72-ba8a-1a73407bed00&t=1726310604919,1729,0,1
1726310606652,1842,第37条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,594,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=923a9630-0c3b-413f-8cf9-c9d92298801a&t=1726310606652,1841,0,1
1726310608497,1929,第38条请求,200,OK,线程组 1-1,text,true,,478,575,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=c7b72c7b-63e1-416c-9570-b93d0fefb5bb&t=1726310608497,1928,0,1
1726310610429,1593,第39条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,585,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=917168d7-42a1-4265-974d-d5adae5d4879&t=1726310610429,1593,0,1
1726310612025,2029,第40条请求,200,OK,线程组 1-1,text,true,,476,590,1,1,https://api-us.aosulife.com/v1/im/getService?uuid=32191ac8-78cb-4a27-b582-afefe6bda692&t=1726310612025,2029,0,1
