timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726222675796,2512,第1条请求,200,OK,线程组 1-1,text,true,,440,612,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=163dec54-1ae9-4538-b602-c00a63f08a11&t=1726222675560,2508,0,1423
1726222678474,2182,第2条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,604,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=56bd8045-de9f-40c4-a76b-44c031a39c7c&t=1726222678467,2182,0,847
1726222680664,1830,第3条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,617,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=5e7c4833-8f94-408f-bf18-6080d59309bb&t=1726222680663,1829,0,803
1726222682501,1937,第4条请求,200,OK,线程组 1-1,text,true,,445,574,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=2b2a30b4-7166-49ef-970d-e1da891ea485&t=1726222682500,1937,0,584
1726222684448,1627,第5条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,574,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=d493ac55-eb63-44df-81b3-441b3cb58bd3&t=1726222684448,1627,0,533
1726222686083,2341,第6条请求,200,OK,线程组 1-1,text,true,,524,560,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=de59ee57-59c7-43ed-9d11-c3ee34ad561c&t=1726222686081,2340,0,619
1726222688429,1903,第7条请求,200,OK,线程组 1-1,text,true,,524,560,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=88ee6867-6334-49bc-922d-8862dea0413d&t=1726222688428,1902,0,537
1726222690338,1782,第8条请求,200,OK,线程组 1-1,text,true,,427,598,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=d932c242-2ef2-4a6b-932a-822a051e0069&t=1726222690337,1782,0,538
1726222692126,1613,第9条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,583,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=e6d5bad1-d33c-4cb2-9675-6e5d7e344c98&t=1726222692125,1613,0,535
1726222693743,1970,第10条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,577,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=5c45b5b2-1206-448b-a603-6424faf5ebae&t=1726222693743,1969,0,781
