timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726053813488,2305,第1条请求,200,OK,线程组 1-1,text,true,,538,587,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=31a7dde2-8e0b-4af3-9b44-7344fe623e95&t=1726053813463,2305,0,0
1726053815833,1965,第2条请求,200,OK,线程组 1-1,text,true,,534,573,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=5688f8c4-b07c-4403-a4bc-d0aa6a2dc509&t=1726053815832,1965,0,1
1726053817798,2725,第3条请求,200,OK,线程组 1-1,text,true,,1351,591,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=27f049b8-53b3-4fe1-8934-716532e577cf&t=1726053817798,2725,0,0
1726053820525,2303,第4条请求,200,OK,线程组 1-1,text,true,,763,590,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=bc69d31b-a444-4e9d-a5b2-e0054a035f00&t=1726053820525,2303,0,1
1726053822830,4912,第5条请求,200,OK,线程组 1-1,text,true,,1682,628,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=7a133a0e-7d84-476c-af87-da5202872fe8&t=1726053822830,4911,0,0
1726053827745,3169,第6条请求,200,OK,线程组 1-1,text,true,,1488,588,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=ea76a6c1-5506-4ed6-bc17-d14271aed070&t=1726053827745,3169,0,0
1726053830916,1555,第7条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,591,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=e9beaf37-beda-4853-a9a4-6a1bbbc6243d&t=1726053830917,1555,0,1
1726053832474,1620,第8条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,649,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=ae873af3-0975-4a6f-963e-2545ab828681&t=1726053832474,1620,0,1
1726053834097,1745,第9条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,590,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=deef9563-5528-44a2-a13c-2069fb89b07f&t=1726053834096,1745,0,1
1726053835843,2875,第10条请求,200,OK,线程组 1-1,text,true,,1358,560,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=7cb5defe-7707-4b23-87b7-f74536a44c70&t=1726053835843,2875,0,1
1726053838721,2168,第11条请求,200,OK,线程组 1-1,text,true,,775,565,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=b6c2683b-56fb-482f-ad25-44e8688dbb57&t=1726053838720,2167,0,0
1726053840891,3440,第12条请求,200,OK,线程组 1-1,text,true,,1712,614,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=b19f8aa2-935b-4e56-b0f0-bdc5890f0c5b&t=1726053840890,3440,0,0
1726053844333,2762,第13条请求,200,OK,线程组 1-1,text,true,,700,591,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=e6aea299-0cd8-4836-b03f-fd9ddbc4fab4&t=1726053844333,2762,0,1
1726053847097,1545,第14条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,578,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=90f020da-c964-497b-9e87-6276f14f5f85&t=1726053847097,1545,0,1
