timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726109514729,2745,第1条请求,200,OK,线程组 1-1,text,true,,295,585,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=5536e30f-5d78-495f-9f42-da05ac13aa65&t=1726109514708,2745,0,1
1726109517512,2132,第2条请求,200,OK,线程组 1-1,text,true,,295,594,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=51947726-e809-4ef6-b6e5-bfa783f42789&t=1726109517511,2132,0,0
1726109519646,1615,第3条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,593,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=8fdf179b-f687-4a50-8a8a-d3f6797838d0&t=1726109519646,1614,0,1
1726109521262,1524,第4条请求,200,OK,线程组 1-1,text,true,,295,593,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=93fc213d-b86d-49eb-8e7e-caf9cc13227a&t=1726109521263,1524,0,1
1726109522789,2403,第5条请求,200,OK,线程组 1-1,text,true,,295,595,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=d6a776f1-5f8c-4bec-9b48-c3904c2ac3e5&t=1726109522789,2402,0,0
1726109525196,2081,第6条请求,200,OK,线程组 1-1,text,true,,295,589,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=26e9980f-2646-4152-9052-f160d8158184&t=1726109525195,2081,0,0
1726109527280,1882,第7条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,596,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=8155124b-7a64-441c-8aea-5dd76042df8b&t=1726109527280,1882,0,1
1726109529164,2216,第8条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,595,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=80926a34-661d-4c17-8552-aae52b77cdab&t=1726109529164,2216,0,1
1726109531383,2776,第9条请求,200,OK,线程组 1-1,text,true,,756,596,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=819ca924-fe47-42b2-b5d8-e78fdc4c603a&t=1726109531382,2775,0,0
1726109534162,3361,第10条请求,200,OK,线程组 1-1,text,true,,403,590,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=67c1d9f0-fd9e-46e7-8930-fcf6e7af268b&t=1726109534161,3361,0,1
