timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726214169728,3165,第1条请求,200,OK,线程组 1-1,text,true,,371,638,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=7f72d1de-af5f-45ee-820d-6da1b3fe1a27&t=1726214169710,3165,0,2
1726214172936,1998,第2条请求,200,OK,线程组 1-1,text,true,,371,589,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=ca06157b-aef3-4110-a427-33792ed1bb18&t=1726214172936,1998,0,1
1726214174938,1897,第3条请求,200,OK,线程组 1-1,text,true,,371,583,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=71c3f7dd-f473-43dd-8286-b81ee11ba5c2&t=1726214174938,1897,0,1
1726214176837,2614,第4条请求,200,OK,线程组 1-1,text,true,,517,566,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=fbba2af0-198e-4b40-9703-a480775fc5ef&t=1726214176837,2614,0,0
1726214179454,2482,第5条请求,200,OK,线程组 1-1,text,true,,392,585,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=344685b7-703e-4592-ad9f-efcd47016868&t=1726214179454,2482,0,2
1726214181939,2312,第6条请求,200,OK,线程组 1-1,text,true,,446,559,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=69ae156e-9387-4f87-ac9f-7f527bd702c5&t=1726214181938,2311,0,1
1726214184254,2023,第7条请求,200,OK,线程组 1-1,text,true,,446,593,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=67c5155c-25a7-484f-8903-35a22e32e564&t=1726214184254,2023,0,2
1726214186279,2105,第8条请求,200,OK,线程组 1-1,text,true,,446,559,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=293aff1a-0255-4383-b5be-d0790550b367&t=1726214186279,2105,0,1
1726214188388,1836,第9条请求,200,OK,线程组 1-1,text,true,,371,638,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=84d0a5fb-3550-4764-8079-dc9bf8725029&t=1726214188387,1836,0,1
1726214190228,2377,第10条请求,200,OK,线程组 1-1,text,true,,518,567,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=256c73b9-859c-44b5-9a99-9119310b6711&t=1726214190227,2377,0,1
1726214192607,2007,第11条请求,200,OK,线程组 1-1,text,true,,389,608,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=5893a23a-ca08-4654-a3a6-c4e800ad8071&t=1726214192606,2007,0,0
1726214194616,3002,第12条请求,200,OK,线程组 1-1,text,true,,924,610,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=04150d04-ac68-47c5-bacc-786e0f49a2f5&t=1726214194616,3001,0,1
1726214197621,2455,第13条请求,200,OK,线程组 1-1,text,true,,549,660,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=c8d933fd-3230-484e-aa2e-8134efea4a72&t=1726214197621,2455,0,1
1726214200080,2975,第14条请求,200,OK,线程组 1-1,text,true,,710,587,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=98572b53-6a1a-4f54-a085-e83d93fcd805&t=1726214200079,2975,0,1
1726214203067,2366,第15条请求,200,OK,线程组 1-1,text,true,,542,622,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=4c68218d-84ca-4ba9-859d-67acd204f2dd&t=1726214203066,2365,0,1
1726214205437,2428,第16条请求,200,OK,线程组 1-1,text,true,,520,569,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=9682f3c0-4b68-43e1-b857-18d2abe2bf37&t=1726214205436,2427,0,1
1726214207869,2526,第17条请求,200,OK,线程组 1-1,text,true,,556,571,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=34a7209c-8365-48bb-8961-fe7972bb2c1e&t=1726214207868,2525,0,1
1726214210398,3326,第18条请求,200,OK,线程组 1-1,text,true,,918,633,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=b18abd59-8c54-4b93-baf2-46a222823e57&t=1726214210398,3325,0,1
1726214213727,4604,第19条请求,200,OK,线程组 1-1,text,true,,1449,584,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=b18444e7-098c-4027-8f0f-48cab10bbd1e&t=1726214213727,4604,0,2
1726214218333,3079,第20条请求,200,OK,线程组 1-1,text,true,,604,609,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=d7d60848-6a56-456e-8772-92ecdb4d7503&t=1726214218332,3079,0,1
1726214221415,3281,第21条请求,200,OK,线程组 1-1,text,true,,968,645,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=a7635989-65da-4cc3-b98c-8596a45ab9b8&t=1726214221414,3281,0,0
1726214224698,3518,第22条请求,200,OK,线程组 1-1,text,true,,742,618,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=5a02bdbc-72e0-4ece-be2f-6f65645ed740&t=1726214224697,3518,0,0
1726214228219,2101,第23条请求,200,OK,线程组 1-1,text,true,,373,586,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=a30d8d1c-8fe5-404c-a174-ec7eebf267df&t=1726214228219,2101,0,3
1726214230323,3148,第24条请求,200,OK,线程组 1-1,text,true,,669,632,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=3e6f4ea8-ad8a-473b-9296-5466fdeb70fc&t=1726214230322,3147,0,0
1726214233475,2698,第25条请求,200,OK,线程组 1-1,text,true,,446,560,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=fef14049-78cb-4367-ab04-2a664c092113&t=1726214233473,2698,0,1
1726214236176,2534,第26条请求,200,OK,线程组 1-1,text,true,,696,571,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=ac7d646e-6304-41e6-928e-750bfc7061ad&t=1726214236176,2533,0,1
1726214238713,2094,第27条请求,200,OK,线程组 1-1,text,true,,484,600,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=af44f7fb-67c4-40b3-8526-4ccccaabe51b&t=1726214238713,2094,0,1
1726214240810,2768,第28条请求,200,OK,线程组 1-1,text,true,,616,616,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=fea1988a-4964-4595-9746-0a6fc4a99329&t=1726214240809,2768,0,1
1726214243579,2008,第29条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,567,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=6c08e4cc-01bd-4d8b-a22e-3e532582c0c4&t=1726214243579,2008,0,1
1726214245590,2410,第30条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,592,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=59d0d97b-58fd-4331-9f71-59aa59303eb7&t=1726214245590,2409,0,1
1726214248003,2663,第31条请求,200,OK,线程组 1-1,text,true,,436,558,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=83e0c71a-0b04-4c8d-9fdc-b431cccbeaa8&t=1726214248003,2663,0,1
1726214250669,2142,第32条请求,200,OK,线程组 1-1,text,true,,462,644,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=c51b310b-50ce-431e-b245-8c034d3f6aa1&t=1726214250668,2142,0,0
1726214252814,2147,第33条请求,200,OK,线程组 1-1,text,true,,496,572,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=fdcb4c42-8f49-482d-abde-57ef1b886028&t=1726214252814,2146,0,2
1726214254965,1840,第34条请求,200,OK,线程组 1-1,text,false,"Value in json path '$.code' expected to match regexp '0', but it did not match: '-4'",250,623,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=41bc89d8-c77a-4c4b-9c4b-dd63d0a19bd2&t=1726214254964,1839,0,1
1726214256810,3455,第35条请求,200,OK,线程组 1-1,text,true,,1003,590,1,1,https://api-test-us.aosulife.com/v1/im/getService?uuid=17d17a9e-8ee4-4cdb-af0d-7412ab754917&t=1726214256808,3455,0,1
